27.2 -0.600705  -0.803742  -0.476318  -0.879273
27.3 -0.678076  -0.739653  -0.561719  -0.827328
27.4 -0.748651  -0.668147  -0.641508  -0.767116
27.5 -0.811722  -0.589941  -0.714887  -0.69924
27.6 -0.866658  -0.50582  -0.781123  -0.624377
27.7 -0.912906  -0.416625  -0.839554  -0.543276
27.8 -0.950004  -0.323251  -0.889597  -0.456746
27.9 -0.977579  -0.226634  -0.930751  -0.365653
28 -0.995355  -0.127743  -0.962606  -0.270906
28.1 -1.00315  -0.0275689  -0.984842  -0.173452
28.2 -1.00089  0.0728842  -0.997239  -0.0742654
28.3 -0.988601  0.172609  -0.999671  0.0256633
28.4 -0.966397  0.270606  -0.992114  0.125336
28.5 -0.934504  0.365893  -0.974645  0.223756
28.6 -0.893242  0.457514  -0.947438  0.31994
28.7 -0.843025  0.54455  -0.910764  0.412928
28.8 -0.784355  0.62613  -0.86499  0.501789
28.9 -0.71782  0.701435  -0.810573  0.585637
29 -0.644087  0.76971  -0.748058  0.663634
29.1 -0.563896  0.83027  -0.678068  0.735
29.2 -0.478049  0.882508  -0.601302  0.799021
29.3 -0.387408  0.925901  -0.518529  0.85506
29.4 -0.292881  0.960012  -0.430575  0.902555
29.5 -0.195416  0.9845  -0.338319  0.941031
29.6 -0.0959886  0.999119  -0.242683  0.970106
29.7 0.00440328  1.00372  -0.144621  0.989487
29.8 0.104753  0.998263  -0.0451149  0.998982
29.9 0.204056  0.982797  0.0548423  0.998495
30 0.301315  0.957477  0.154251  0.988032
30.1 0.395557  0.922558  0.252119  0.967696
30.2 0.485835  0.87839  0.347468  0.937692
30.3 0.571244  0.825414  0.439345  0.898318
30.4 0.65093  0.764163  0.526833  0.849969
30.5 0.724091  0.695249  0.609056  0.793127
30.6 0.789996  0.619364  0.685194  0.728361
30.7 0.847982  0.537267  0.754485  0.656317
30.8 0.897469  0.449783  0.816239  0.577715
30.9 0.93796  0.357787  0.869836  0.493341
31 0.969049  0.262202  0.914742  0.404038
31.1 0.990424  0.163986  0.950509  0.310697
31.2 1.00187  0.0641238  0.976778  0.214253
31.3 1.00327  -0.0363838  0.993288  0.115667
31.4 0.994618  -0.136529  0.999873  0.0159259
31.5 0.975992  -0.235308  0.996468  -0.0839745
31.6 0.947582  -0.331731  0.983106  -0.183036
31.7 0.909671  -0.424831  0.959922  -0.280268
31.8 0.862639  -0.513674  0.927146  -0.3747
31.9 0.806959  -0.597369  0.885107  -0.465388
32 0.743187  -0.675078  0.834223  -0.551427
32.1 0.671963  -0.746021  0.775005  -0.631955
32.2 0.594001  -0.809488  0.708043  -0.706169
32.3 0.510082  -0.86484  0.634006  -0.773328
32.4 0.421048  -0.911524  0.553635  -0.832759
32.5 0.32779  -0.949071  0.467732  -0.88387
32.6 0.231244  -0.977105  0.377155  -0.92615
32.7 0.132377  -0.995344  0.28281  -0.959176
32.8 0.0321812  -1.00361  0.18564  -0.982618
32.9 -0.0683402  -1.00181  0.0866142  -0.996242
33 -0.168179  -0.989962  -0.0132767  -0.999912
33.1 -0.266334  -0.968194  -0.113035  -0.993591
33.2 -0.361822  -0.93672  -0.211664  -0.977343
33.3 -0.453685  -0.895854  -0.308178  -0.951329
33.4 -0.541002  -0.846006  -0.401613  -0.91581
33.5 -0.622898  -0.787676  -0.491035  -0.87114
33.6 -0.698551  -0.721448  -0.57555  -0.817766
33.7 -0.767203  -0.647986  -0.654316  -0.756222
33.8 -0.828165  -0.568026  -0.726543  -0.687121
33.9 -0.880827  -0.482369  -0.791511  -0.611155
34 -0.92466  -0.391874  -0.84857  -0.529083
34.1 -0.959224  -0.297449  -0.897151  -0.441724
34.2 -0.984173  -0.200039  -0.936768  -0.349951
34.3 -0.999256  -0.100622  -0.967025  -0.254682
34.4 -1.00432  -0.000193134  -0.987619  -0.156869
34.5 -0.999319  0.10024  -0.998346  -0.0574875
34.6 -0.984299  0.199671  -0.999098  0.042468
34.7 -0.95941  0.297102  -0.989867  0.141999
34.8 -0.924903  0.391558  -0.970745  0.240112
34.9 -0.881123  0.48209  -0.941924  0.335825
35 -0.828508  0.567792  -0.903692  0.428183
35.1 -0.767586  0.647804  -0.856431  0.516262
35.2 -0.698968  0.721324  -0.800612  0.599183
35.3 -0.623341  0.787614  -0.736794  0.676118
35.4 -0.541463  0.84601  -0.665613  0.746297
35.5 -0.454154  0.895926  -0.587783  0.809019
35.6 -0.362291  0.936862  -0.504079  0.863657
35.7 -0.266793  0.968407  -0.415339  0.909667
35.8 -0.168619  0.990244  -0.322449  0.946587
35.9 -0.0687513  1.00215  -0.226337  0.974049
36 0.0318079  1.00402  -0.127964  0.991779
36.1 0.132051  0.995818  -0.0283117  0.999599
36.2 0.230972  0.977634  0.0716231  0.997432
36.3 0.327581  0.949648  0.170842  0.985298
36.4 0.420908  0.912142  0.268355  0.96332
36.5 0.510017  0.865491  0.363185  0.931717
36.6 0.594016  0.810161  0.454387  0.890804
36.7 0.672063  0.746709  0.541049  0.840991
36.8 0.743373  0.675769  0.622305  0.782775
36.9 0.807233  0.598053  0.697344  0.716737
37 0.863002  0.514339  0.765414  0.643538
37.1 0.910121  0.425468  0.825837  0.563909
37.2 0.948117  0.332328  0.878008  0.478646
37.3 0.97661  0.235855  0.921406  0.3886
37.4 0.995312  0.137014  0.955599  0.294672
37.5 1.00404  0.0367982  0.980243  0.197799
37.6 1.0027  -0.0637895  0.995092  0.0989497
37.7 0.991304  -0.16374  1  -0.000888157
37.8 0.969974  -0.262052  0.994915  -0.100717
37.9 0.938919  -0.357739  0.97989  -0.19954
38 0.89845  -0.449842  0.955074  -0.296369
38.1 0.848974  -0.537438  0.920715  -0.390236
38.2 0.790985  -0.619648  0.877156  -0.480205
38.3 0.725065  -0.695648  0.824834  -0.565375
38.4 0.651875  -0.764677  0.76427  -0.644897
38.5 0.572148  -0.826041  0.696069  -0.717975
38.6 0.486683  -0.879125  0.620914  -0.783879
38.7 0.396337  -0.923398  0.539555  -0.841951
38.8 0.302016  -0.958415  0.452804  -0.89161
38.9 0.204664  -0.983824  0.36153  -0.932361
39 0.105258  -0.999372  0.266643  -0.963795
39.1 0.00479495  -1.0049  0.169092  -0.9856
39.2 -0.0957191  -1.00036  0.0698512  -0.997557
39.3 -0.195276  -0.985782  -0.0300873  -0.999547
39.4 -0.292878  -0.961325  -0.129725  -0.99155
39.5 -0.387546  -0.927231  -0.228067  -0.973645
39.6 -0.478331  -0.88384  -0.32413  -0.946013
39.7 -0.564324  -0.831588  -0.416954  -0.908927
39.8 -0.644661  -0.770998  -0.505613  -0.862761
39.9 -0.718537  -0.702676  -0.589219  -0.807973
40 -0.785212  -0.627309  -0.666938  -0.745113
40.1 -0.844017  -0.545652  -0.737993  -0.674808
40.2 -0.894362  -0.458522  -0.801675  -0.59776
40.3 -0.935743  -0.366793  -0.857346  -0.51474
40.4 -0.967743  -0.271385  -0.904451  -0.426577
40.5 -0.990043  -0.173253  -0.942519  -0.334151
40.6 -1.00242  -0.0733827  -0.97117  -0.238387
40.7 -1.00474  0.027226  -0.990117  -0.140241
40.8 -0.996998  0.127564  -0.999172  -0.0406933
40.9 -0.979256  0.226626  -0.998243  0.0592608
41 -0.951698  0.323419  -0.987339  0.158623
41.1 -0.914597  0.416971  -0.966571  0.2564
41.2 -0.868327  0.506346  -0.936145  0.351615
41.3 -0.813351  0.590647  -0.896365  0.443317
41.4 -0.750219  0.669029  -0.847629  0.530589
41.5 -0.679565  0.740706  -0.790424  0.61256
41.6 -0.602097  0.804959  -0.725321  0.688411
41.7 -0.518591  0.861144  -0.652971  0.757383
41.8 -0.429883  0.908697  -0.574097  0.818787
41.9 -0.336864  0.947142  -0.489487  0.872011
42 -0.240466  0.976093  -0.399985  0.916522
42.1 -0.141654  0.995259  -0.306488  0.951875
42.2 -0.0414198  1.00445  -0.209928  0.977717
42.3 0.059232  1.00357  -0.11127  0.99379
42.4 0.159293  0.992626  -0.0115006  0.999934
42.5 0.257759  0.971734  0.0883837  0.996087
42.6 0.353643  0.9411  0.187385  0.982287
42.7 0.445985  0.90103  0.284514  0.958672
42.8 0.533858  0.851926  0.3788  0.925479
42.9 0.616382  0.794281  0.469301  0.883038
